occurrenceID	taxonID	eventID	institutionCode	collectionCode	catalogNumber	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceRemarks	individualCount	preparations	fieldNotes	samplingProtocol	samplingEffort	recordedBy	identifiedBy	dateIdentified	eventDate	modified	locality	decimalLatitude	decimalLongitude	verbatimLatitude	verbatimLongitude	verbatimElevation
Astrangia poculata (Ellis & Solander, 1786)	Astrangia poculata (Ellis & Solander, 1786)					M
Balanophyllia imperialis Kent, 1871	Balanophyllia imperialis Kent, 1871
Balanophyllia iwayamaensis Abe, 1938	Balanophyllia iwayamaensis Abe, 1938
Balanophyllia laysanensis Vaughan, 1907	Balanophyllia laysanensis Vaughan, 1907
Balanophyllia pittieri Vaughan, 1919	Balanophyllia pittieri Vaughan, 1919
Caryophyllia capensis Gardiner, 1904	Caryophyllia capensis Gardiner, 1904
Cryptotrochus brevipalus Cairns, 1999	Cryptotrochus brevipalus Cairns, 1999
Dendrophyllia Ilia robusta (Bourne, 1905)	Dendrophyllia Ilia robusta (Bourne, 1905)																										
Javania insignis Duncan, 1876	Javania insignis Duncan, 1876
Javania pseudoalabastra Zibrowius, 1974	Javania pseudoalabastra Zibrowius, 1974
