taxonID	furtherInformationURL	referenceID	parentNameUsageID	scientificName	namePublishedIn	phylum	class	order	family	genus	taxonRank	taxonomicStatus	taxonRemarks
Astrangia poculata (Ellis & Solander, 1786)				Astrangia poculata (Ellis & Solander, 1786)		Cnidaria	Anthozoa	Scleractinia	Rhizangiidae	Astrangia	species		
Cryptotrochus brevipalus Cairns, 1999				Cryptotrochus brevipalus Cairns, 1999		Cnidaria	Anthozoa	Scleractinia	Turbinoliidae	Cryptotrochus	species		
Javania insignis Duncan, 1876				Javania insignis Duncan, 1876		Cnidaria	Anthozoa	Scleractinia	Flabellidae	Javania	species		
Javania pseudoalabastra Zibrowius, 1974				Javania pseudoalabastra Zibrowius, 1974		Cnidaria	Anthozoa	Scleractinia	Flabellidae	Javania	species		
Dendrophyllia Ilia robusta (Bourne, 1905)				Dendrophyllia Ilia robusta (Bourne, 1905)		Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Dendrophyllia	species		
Caryophyllia capensis Gardiner, 1904				Caryophyllia capensis Gardiner, 1904		Bryozoa				Calyptotheca	species		
Balanophyllia pittieri Vaughan, 1919				Balanophyllia pittieri Vaughan, 1919		Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Balanophyllia	species		
Balanophyllia laysanensis Vaughan, 1907				Balanophyllia laysanensis Vaughan, 1907		Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Balanophyllia	species		
Balanophyllia imperialis Kent, 1871				Balanophyllia imperialis Kent, 1871		Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Balanophyllia	species		
Balanophyllia iwayamaensis Abe, 1938				Balanophyllia iwayamaensis Abe, 1938		Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Balanophyllia	species		
